course_id,due,experience,hours,location,resp_time,null,day_offset,week
Cs65 ,2.0,1.0,1.0,"43.70542015,-72.29039125",2013-04-08 19:00:00,,15,3
Engs22 ,1.0,1.0,1.0,"43.70542081,-72.29035437",2013-04-08 19:00:00,,15,3
Anth12 ,1.0,5.0,2.0,"43.70424475,-72.28958517",2013-04-09 00:00:00,,15,3
Cs65 ,2.0,3.0,1.0,"43.70687149,-72.28907564",2013-04-10 19:00:00,,17,3
Engs22 ,1.0,1.0,6.0,"43.70687149,-72.28907564",2013-04-10 19:00:00,,17,3
Anth12 ,2.0,5.0,1.0,"43.70686233,-72.28905565",2013-04-10 20:00:00,,17,3
Anth12 ,2.0,4.0,1.0,"43.70684932,-72.28899775",2013-04-12 19:00:00,,19,3
Engs22 ,1.0,4.0,4.0,"43.70684932,-72.28899775",2013-04-12 19:00:00,,19,3
Cs65 ,2.0,1.0,1.0,"43.70684932,-72.28899775",2013-04-12 19:00:00,,19,3
Engs22 ,1.0,4.0,4.0,"43.70459772,-72.28955104",2013-04-12 01:00:00,,18,3
