level,location,resp_time,null,day_offset,week
3.0,"43.63735323,-72.24819351",2013-03-30 21:00:00,,6,1
,,2013-03-24 09:00:00,2,0,1
,,2013-03-24 10:00:00,"43.70638441,-72.2870153",0,1
,,2013-03-24 10:00:00,"43.70638441,-72.2870153",0,1
,,2013-03-24 10:00:00,1,0,1
,,2013-03-24 10:00:00,"43.70638441,-72.2870153",0,1
4.0,"43.69316098,-72.27237671",2013-03-27 22:00:00,,3,1
3.0,"43.63758719,-72.2484788",2013-03-28 19:00:00,,4,1
4.0,"43.67698318,-72.26028412",2013-03-28 17:00:00,,4,1
1.0,"43.63731604,-72.24852742",2013-03-29 06:00:00,,4,1
1.0,"43.70977927,-72.28303993",2013-03-29 22:00:00,,5,1
4.0,"43.64714305,-72.18863182",2013-04-01 02:00:00,,7,2
1.0,"43.63766483,-72.2485018",2013-04-03 17:00:00,,10,2
4.0,"43.68018579,-72.26763356",2013-04-03 00:00:00,,9,2
1.0,"43.63745411,-72.24846941",2013-04-03 15:00:00,,10,2
3.0,"43.63744784,-72.24844083",2013-04-04 07:00:00,,10,2
4.0,"43.63824914,-72.26904746",2013-04-05 06:00:00,,11,2
3.0,"41.52841946,-71.29590676",2013-04-06 07:00:00,,12,2
1.0,Unknown,2013-04-09 04:00:00,,15,3
4.0,"43.6375493,-72.24833383",2013-04-10 07:00:00,,16,3
1.0,"43.63760479,-72.24817944",2013-04-11 18:00:00,,18,3
1.0,"43.70636301,-72.28857234",2013-04-10 22:00:00,,17,3
3.0,"43.63800068,-72.25275713",2013-04-13 22:00:00,,20,3
1.0,"43.70661726,-72.28610243",2013-04-15 20:00:00,,22,4
1.0,"43.63737158,-72.24822456",2013-04-16 14:00:00,,23,4
5.0,"43.70622724,-72.28844154",2013-04-19 21:00:00,,26,4
1.0,"43.65171942,-72.24487102",2013-04-25 18:00:00,,32,5
3.0,"43.65071596,-72.24611147",2013-04-29 20:00:00,,36,6
3.0,"43.63754951,-72.24864877",2013-04-30 05:00:00,,36,6
1.0,"43.63765138,-72.24846251",2013-05-07 17:00:00,,44,7
1.0,"43.63742049,-72.24846418",2013-05-08 14:00:00,,45,7
1.0,"43.63749678,-72.24842448",2013-05-07 14:00:00,,44,7
1.0,"43.63763615,-72.24824413",2013-05-08 04:00:00,,44,7
1.0,"43.63750313,-72.24799297",2013-05-07 04:00:00,,43,7
2.0,"43.63777172,-72.24845051",2013-05-23 08:00:00,,59,9
