null,resp_time,level,location,day_offset,week
3,2013-03-24 10:00:00,,,0,1
"43.70643452,-72.28706984",2013-03-24 09:00:00,,,0,1
"43.70499462,-72.28868604",2013-03-24 10:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
4,2013-03-24 10:00:00,,,0,1
,2013-03-29 08:00:00,1.0,Unknown,4,1
,2013-03-29 08:00:00,1.0,Unknown,4,1
,2013-03-30 06:00:00,4.0,"43.70467917,-72.29069521",5,1
,2013-03-31 02:00:00,1.0,"42.66790057,-71.19631465",6,1
,2013-04-03 06:00:00,3.0,Unknown,9,2
,2013-03-31 22:00:00,1.0,"42.24437294,-70.90322291",7,2
,2013-04-05 08:00:00,1.0,"43.70421032,-72.29057014",11,2
,2013-04-09 16:00:00,1.0,"43.70423505,-72.29046602",16,3
,2013-04-17 03:00:00,1.0,"43.70591041,-72.28826857",23,4
,2013-04-17 04:00:00,1.0,"43.70591041,-72.28826857",23,4
