hour,location,rate,resp_time,social,null,day_offset,week
,,,2013-03-24 10:00:00,,7,0,1
,,,2013-03-24 10:00:00,,6,0,1
,,,2013-03-24 10:00:00,,"43.70644277,-72.28745909",0,1
,,,2013-03-24 10:00:00,,3,0,1
,,,2013-03-24 10:00:00,,3,0,1
,,,2013-03-24 10:00:00,,7,0,1
6.0,"43.70605071,-72.28863023",2.0,2013-03-27 20:00:00,2.0,,3,1
7.0,"43.70704086,-72.28731294",2.0,2013-03-28 17:00:00,3.0,,4,1
7.0,"43.70406856,-72.29058126",2.0,2013-03-30 20:00:00,2.0,,6,1
7.0,"43.70465195,-72.29099209",3.0,2013-03-29 17:00:00,1.0,,5,1
7.0,"43.70425434,-72.29121363",3.0,2013-04-01 17:00:00,2.0,,8,2
6.0,"43.70470793,-72.29118335",3.0,2013-03-31 18:00:00,1.0,,7,2
6.0,"43.70629105,-72.28869027",3.0,2013-04-03 17:00:00,3.0,,10,2
6.0,"43.70467368,-72.29087023",2.0,2013-04-09 05:00:00,1.0,,15,3
6.0,"43.7046699,-72.29098352",2.0,2013-04-09 05:00:00,2.0,,15,3
6.0,"43.70512967,-72.28920458",2.0,2013-04-09 05:00:00,1.0,,15,3
0.0,"43.70426189,-72.29088555",4.0,2013-04-09 05:00:00,2.0,,15,3
4.0,"43.70533787,-72.28805256",3.0,2013-04-09 05:00:00,2.0,,15,3
5.0,"43.70629105,-72.28869027",2.0,2013-04-09 05:00:00,2.0,,15,3
3.0,"43.70434729,-72.29081836",2.0,2013-04-12 18:00:00,3.0,,19,3
5.0,"43.70556943,-72.28809499",3.0,2013-04-10 17:00:00,3.0,,17,3
4.0,"43.70380893,-72.28772947",2.0,2013-04-11 17:00:00,3.0,,18,3
8.0,"43.70459704,-72.29138802",1.0,2013-04-13 19:00:00,3.0,,20,3
4.0,Unknown,3.0,2013-04-15 17:00:00,2.0,,22,4
4.0,"43.70495522,-72.29090614",3.0,2013-04-16 17:00:00,3.0,,23,4
5.0,"43.70495522,-72.29090614",3.0,2013-04-16 23:00:00,3.0,,23,4
5.0,"43.70495522,-72.29090614",3.0,2013-04-17 17:00:00,2.0,,24,4
5.0,"43.70460031,-72.29111515",3.0,2013-04-18 17:00:00,1.0,,25,4
5.0,"43.70237732,-72.28914013",4.0,2013-04-19 02:00:00,2.0,,25,4
4.0,"43.70477525,-72.2912571",3.0,2013-04-19 17:00:00,1.0,,26,4
8.0,Unknown,3.0,2013-04-20 19:00:00,2.0,,27,4
6.0,Unknown,2.0,2013-04-21 22:00:00,2.0,,28,5
4.0,"43.7060191,-72.28758328",2.0,2013-04-26 17:00:00,2.0,,33,5
5.0,"43.70366438,-72.2901632",3.0,2013-04-28 00:00:00,2.0,,34,5
4.0,Unknown,2.0,2013-04-29 04:00:00,3.0,,35,6
5.0,"43.7046102,-72.29099328",2.0,2013-05-01 17:00:00,3.0,,38,6
5.0,"43.70405489,-72.28757532",3.0,2013-05-03 17:00:00,2.0,,40,6
4.0,"43.70418222,-72.29064333",2.0,2013-05-07 17:00:00,2.0,,44,7
1.0,"43.70632774,-72.28670996",3.0,2013-05-08 17:00:00,3.0,,45,7
9.0,"43.70419436,-72.29111957",2.0,2013-05-17 09:00:00,3.0,,53,8
1.0,"43.70673393,-72.28776049",3.0,2013-05-15 01:00:00,4.0,,51,8
1.0,"43.704622379999996,-72.29115798",4.0,2013-05-15 18:00:00,4.0,,52,8
3.0,"43.70440021,-72.29112204",4.0,2013-05-13 17:00:00,3.0,,50,8
3.0,"43.70551279,-72.29153409",3.0,2013-05-18 19:00:00,3.0,,55,8
2.0,"43.70551279,-72.29153409",4.0,2013-05-20 18:00:00,4.0,,57,9
10.0,"43.70583041,-72.28925846",2.0,2013-06-01 15:00:00,4.0,,69,10
