null,resp_time,location,number,day_offset,week
"43.70639689,-72.2870184",2013-03-24 09:00:00,,,0,1
"43.70634601,-72.2882174",2013-03-24 10:00:00,,,0,1
4,2013-03-24 10:00:00,,,0,1
"43.70493756,-72.28874493",2013-03-24 10:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
,2013-04-01 00:00:00,"43.70640514,-72.28820773",4.0,7,2
,2013-04-04 04:00:00,"43.70675529,-72.28728531",4.0,10,2
,2013-04-01 06:00:00,"43.70106678,-72.28949426",4.0,7,2
,2013-04-01 18:00:00,"43.70105311,-72.28963051",3.0,8,2
,2013-04-02 09:00:00,"43.7044068,-72.28971584",4.0,9,2
,2013-04-03 04:00:00,"43.70502483,-72.28874105",4.0,9,2
,2013-04-04 02:00:00,"43.70675529,-72.28728531",4.0,10,2
,2013-04-05 04:00:00,"43.70589093,-72.28772656",3.0,11,2
,2013-04-05 04:00:00,"43.70589093,-72.28772656",4.0,11,2
,2013-04-07 06:00:00,"43.70589876,-72.28814521",3.0,13,2
,2013-04-13 20:00:00,Unknown,4.0,20,3
,2013-04-10 20:00:00,"43.70418508,-72.2961775",4.0,17,3
,2013-04-12 20:00:00,"43.70450188,-72.2971835",4.0,19,3
,2013-04-15 16:00:00,"43.70520754,-72.29021202",4.0,22,4
,2013-04-18 19:00:00,"43.70418499,-72.29773208",4.0,25,4
,2013-04-19 06:00:00,"43.70242371,-72.29305417",5.0,25,4
,2013-05-10 09:00:00,"43.70465108,-72.29535043",2.0,47,7
