null,resp_time,course_id,due,experience,hours,location,day_offset,week
,2013-04-02 01:00:00,LAT3,1.0,2.0,5.0,"43.70705260374322,-72.2906467517123",8,2
,2013-04-02 18:00:00,LAT3,2.0,3.0,5.0,"43.70338315129848,-72.2868059778217",9,2
,2013-04-03 22:00:00,LAT3,2.0,3.0,1.0,"43.703158651028865,-72.2870008394822",10,2
,2013-04-03 22:00:00,MATH13,1.0,2.0,5.0,"43.703158651028865,-72.2870008394822",10,2
,2013-04-04 02:00:00,CS65,2.0,3.0,2.0,"43.707160898813775,-72.29070505330372",10,2
,2013-04-04 22:00:00,CS65,2.0,2.0,6.0,"43.70713543339236,-72.29082214369375",11,2
,2013-04-04 22:00:00, LAT3,1.0,3.0,5.0,"43.70719136531615,-72.29074030026922",11,2
,2013-04-05 22:00:00,LAT3,1.0,2.0,3.0,"43.70725334083059,-72.29087305855974",12,2
,2013-04-05 22:00:00,MATH13,1.0,2.0,4.0,"43.70710791156842,-72.29068312334456",12,2
,2013-04-05 22:00:00,CS65,2.0,2.0,5.0,"43.70712420776659,-72.2906110276771",12,2
