hour,location,rate,resp_time,social,day_offset,week
5,"43.70716466,-72.28877446",2,2013-03-30 18:00:00,1,3,1
9,"43.70283143,-72.28972714",1,2013-03-27 18:00:00,1,0,1
7,"43.70695709,-72.2889774",2,2013-03-28 18:00:00,1,1,1
9,"43.70719154,-72.28893742",2,2013-03-29 17:00:00,1,1,1
7,"43.70699391,-72.28861928",2,2013-03-31 17:00:00,1,3,1
7,"43.7070462,-72.28848992",1,2013-04-02 17:00:00,1,5,1
8,"43.70703349,-72.28843848",1,2013-04-01 17:00:00,1,4,1
7,"43.70726477,-72.28852991",2,2013-04-03 17:00:00,1,6,1
7,"43.7070314,-72.28839927",1,2013-04-04 17:00:00,1,7,2
7,"43.70707371,-72.28883426",2,2013-04-05 17:00:00,1,8,2
5,Unknown,3,2013-04-07 00:00:00,1,10,2
7,Unknown,3,2013-04-08 00:00:00,2,11,2
5,"42.23578722,-83.33754082",3,2013-04-08 17:00:00,1,11,2
9,"43.70719012,-72.2888733",1,2013-04-09 18:00:00,2,13,2
8,"43.70725349,-72.28839747",1,2013-04-10 17:00:00,1,13,2
8,"43.70712725,-72.28845074",2,2013-04-11 17:00:00,1,14,3
9,"43.70706396,-72.28897457",2,2013-04-13 06:00:00,1,16,3
7,"43.70705136,-72.28843485",2,2013-04-13 17:00:00,1,16,3
9,"43.70716593,-72.28890086",2,2013-04-14 17:00:00,1,17,3
8,"43.70723585,-72.28841302",3,2013-04-15 17:00:00,1,18,3
8,"43.70717627,-72.28852962",2,2013-04-16 18:00:00,1,20,3
6,"43.70729692,-72.2885815",4,2013-04-17 19:00:00,1,21,4
10,"43.70692919,-72.28846759",1,2013-04-18 17:00:00,1,21,4
5,"43.81122389,-72.15728455",2,2013-04-20 18:00:00,1,24,4
5,"43.70716806,-72.28866449",2,2013-04-21 17:00:00,1,24,4
8,"43.70701255,-72.28865971",1,2013-04-23 19:00:00,1,27,4
8,"43.70721595,-72.28866405",2,2013-04-22 17:00:00,1,25,4
5,"43.70712999,-72.28865702",1,2013-04-24 17:00:00,1,27,4
6,"43.70488035,-72.29116269",2,2013-04-27 20:00:00,1,31,5
6,"43.70713458,-72.2881041",2,2013-04-29 23:00:00,1,33,5
5,"43.70722552,-72.28844694",3,2013-04-30 17:00:00,2,33,5
6,"43.70710859,-72.2886006",3,2013-05-01 17:00:00,1,34,5
8,"43.70711822,-72.28858793",2,2013-05-02 17:00:00,1,35,6
6,"43.70709725,-72.28867937",2,2013-05-05 17:00:00,1,38,6
7,"43.70689213,-72.28923384",2,2013-05-07 17:00:00,1,40,6
10,"43.70701678,-72.2889594",1,2013-05-06 18:00:00,1,40,6
6,"43.70705911,-72.28865321",2,2013-05-04 19:00:00,1,38,6
8,"43.70699407,-72.28841365",2,2013-05-08 17:00:00,1,41,6
10,"43.70706783,-72.2885488",1,2013-05-09 17:00:00,1,42,7
10,"43.70711182,-72.28819371",2,2013-05-14 17:00:00,1,47,7
12,"43.70473921,-72.28950019",1,2013-05-13 17:00:00,1,46,7
9,"43.7071288,-72.28941802",2,2013-05-15 17:00:00,1,48,7
11,"43.7070207,-72.28830805",2,2013-05-10 17:00:00,1,43,7
9,"43.70708212,-72.28839628",2,2013-05-12 18:00:00,1,46,7
11,"43.70696151,-72.28906057",1,2013-05-16 18:00:00,1,50,8
9,"43.70673718,-72.28846184",2,2013-05-19 18:00:00,1,53,8
12,"43.70719384,-72.28862744",3,2013-05-17 17:00:00,1,50,8
5,"43.70703477,-72.28857214",3,2013-05-18 19:00:00,1,52,8
9,"43.70304196,-72.28932574",3,2013-05-20 17:00:00,1,53,8
9,"43.70668699,-72.28726705",2,2013-05-21 17:00:00,1,54,8
9,"43.70721163,-72.28886462",2,2013-05-22 17:00:00,1,55,8
10,"43.707001,-72.28873383",2,2013-05-23 17:00:00,1,56,9
7,"43.70696068,-72.28886495",2,2013-05-24 17:00:00,1,57,9
5,"43.70722646,-72.28884523",2,2013-05-25 17:00:00,1,58,9
3,"43.70636826,-72.286902",2,2013-05-26 17:00:00,1,59,9
3,"43.70708929,-72.28882886",4,2013-05-28 17:00:00,1,61,9
1,"43.7066534,-72.28722533",1,2013-05-31 17:00:00,1,64,10
7,"43.70710587,-72.28884407",2,2013-06-03 18:00:00,1,68,10
6,"43.70713643,-72.28841499",2,2013-06-04 18:00:00,1,69,10
2,"43.70712821,-72.2934383",1,2013-06-01 19:00:00,1,66,10
17,"43.70723573,-72.28867028",1,2013-06-02 18:00:00,1,67,10
