time,provider,network_type,accuracy,latitude,longitude,altitude,bearing,speed,travelstate,times,date,location,extracted_location,road_name,building_name,city_name,full_address_extracted
1364356898,network,wifi,35.38,43.70613,-72.28323,0.0,0.0,0.0,stationary,2013-03-27 04:01:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America","18 North Park Street, Hanover, New Hampshire, United States",North Park Street,,Hanover,"18, North Park Street, Hanover, Grafton County, New Hampshire, 03755, United States"
1364358098,network,wifi,36.999,43.70617,-72.28329,0.0,0.0,0.0,stationary,2013-03-27 04:21:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364359298,network,wifi,30.853,43.70616,-72.28329,0.0,0.0,0.0,stationary,2013-03-27 04:41:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364360498,network,wifi,34.72,43.70619,-72.28328,0.0,0.0,0.0,stationary,2013-03-27 05:01:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364361698,network,wifi,20.94,43.70611,-72.28324,0.0,0.0,0.0,stationary,2013-03-27 05:21:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364362898,network,wifi,36.15,43.70618,-72.28328,0.0,0.0,0.0,stationary,2013-03-27 05:41:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364364098,network,wifi,37.54,43.70617,-72.28327,0.0,0.0,0.0,stationary,2013-03-27 06:01:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364365298,network,wifi,36.535,43.70618,-72.28325,0.0,0.0,0.0,stationary,2013-03-27 06:21:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364366498,network,wifi,39.421,43.70614,-72.28328,0.0,0.0,0.0,stationary,2013-03-27 06:41:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364367698,network,wifi,36.022,43.70614,-72.28326,0.0,0.0,0.0,stationary,2013-03-27 07:01:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364368898,network,wifi,38.842,43.70615,-72.28327,0.0,0.0,0.0,stationary,2013-03-27 07:21:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364370098,network,wifi,38.219,43.70617,-72.28328,0.0,0.0,0.0,stationary,2013-03-27 07:41:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364371298,network,wifi,39.732,43.70614,-72.28328,0.0,0.0,0.0,stationary,2013-03-27 08:01:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364372498,network,wifi,37.236,43.70617,-72.28328,0.0,0.0,0.0,stationary,2013-03-27 08:21:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364373698,network,wifi,37.448,43.70617,-72.28327,0.0,0.0,0.0,stationary,2013-03-27 08:41:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364374898,network,wifi,37.495,43.70617,-72.28327,0.0,0.0,0.0,stationary,2013-03-27 09:01:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364376098,network,wifi,37.184,43.70617,-72.28326,0.0,0.0,0.0,stationary,2013-03-27 09:21:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364377298,network,wifi,36.312,43.70616,-72.28324,0.0,0.0,0.0,stationary,2013-03-27 09:41:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364378498,network,wifi,37.107,43.70617,-72.28328,0.0,0.0,0.0,stationary,2013-03-27 10:01:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364379698,network,wifi,38.355,43.70616,-72.28326,0.0,0.0,0.0,stationary,2013-03-27 10:21:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364380898,network,wifi,34.173,43.70617,-72.28329,0.0,0.0,0.0,stationary,2013-03-27 10:41:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364382098,network,wifi,37.978,43.70619,-72.28327,0.0,0.0,0.0,stationary,2013-03-27 11:01:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364383182,network,wifi,37.721,43.70616,-72.28328,0.0,0.0,0.0,stationary,2013-03-27 11:19:42,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364384498,network,wifi,38.973,43.70616,-72.28324,0.0,0.0,0.0,stationary,2013-03-27 11:41:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364385648,network,wifi,35.68,43.70618,-72.28329,0.0,0.0,0.0,stationary,2013-03-27 12:00:48,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364386898,network,wifi,38.905,43.70617,-72.28329,0.0,0.0,0.0,stationary,2013-03-27 12:21:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364388098,network,wifi,36.132,43.70615,-72.2833,0.0,0.0,0.0,stationary,2013-03-27 12:41:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364389298,network,wifi,36.21,43.70614,-72.28326,0.0,0.0,0.0,stationary,2013-03-27 13:01:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364390498,network,wifi,34.734,43.70616,-72.28328,0.0,0.0,0.0,stationary,2013-03-27 13:21:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364391698,network,wifi,35.446,43.70619,-72.28328,0.0,0.0,0.0,stationary,2013-03-27 13:41:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364392898,network,wifi,58.462,43.70862,-72.28441,0.0,0.0,0.0,moving,2013-03-27 14:01:38,2013-03-27,"Vail, 74 College Street, Hanover, NH 03755, United States of America",,,,,
1364394098,network,wifi,53.312,43.70869,-72.28417,0.0,0.0,0.0,stationary,2013-03-27 14:21:38,2013-03-27,"Class of 1978 Life Sciences Center, 78 College Street, Hanover, NH 03755, United States of America",,,,,
1364395298,network,wifi,50.652,43.70876,-72.28402,0.0,0.0,0.0,stationary,2013-03-27 14:41:38,2013-03-27,"Class of 1978 Life Sciences Center, 78 College Street, Hanover, NH 03755, United States of America",,,,,
1364396450,network,wifi,33.0,43.70894,-72.28394,0.0,0.0,0.0,,2013-03-27 15:00:50,2013-03-27,"78 College Street, Hanover, NH 03755, United States of America",,,,,
1364397698,network,wifi,54.362,43.70615,-72.28326,0.0,0.0,0.0,moving,2013-03-27 15:21:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364400098,network,wifi,29.907,43.70618,-72.28329,0.0,0.0,0.0,stationary,2013-03-27 16:01:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364401298,network,wifi,37.428,43.70618,-72.28327,0.0,0.0,0.0,stationary,2013-03-27 16:21:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364402498,network,wifi,37.635,43.70616,-72.28327,0.0,0.0,0.0,stationary,2013-03-27 16:41:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364403698,network,wifi,37.531,43.70619,-72.28327,0.0,0.0,0.0,stationary,2013-03-27 17:01:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364404898,network,wifi,34.037,43.70617,-72.2833,0.0,0.0,0.0,stationary,2013-03-27 17:21:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
1364406098,network,wifi,35.895,43.70616,-72.28325,0.0,0.0,0.0,stationary,2013-03-27 17:41:38,2013-03-27,"18 North Park Street, Hanover, NH 03755, United States of America",,,,,
1364407298,network,wifi,36.483,43.70618,-72.28327,0.0,0.0,0.0,stationary,2013-03-27 18:01:38,2013-03-27,"North Park Street, Hanover, NH 03755, United States of America",,,,,
