course_id,due,experience,hours,location,resp_time,day_offset,week
CS 65,2,3,12,"43.70553600601852,-72.29107699356973",2013-05-16 15:00:00,50,8
Sexperts,2,1,1,"43.70553600601852,-72.29107699356973",2013-05-16 15:00:00,50,8
CS 7,1,1,3,"43.70553600601852,-72.29107699356973",2013-05-16 15:00:00,50,8
German 1 Drill,2,3,2,Unknown,2013-05-18 00:00:00,51,8
German 1,1,3,2,"43.70520072989166,-72.28917254135013",2013-05-18 00:00:00,51,8
CS 7,1,4,3,"43.70532067492604,-72.28892787359655",2013-05-18 00:00:00,51,8
German 1,1,3,2,"43.705461281351745,-72.2910166438669",2013-05-21 09:00:00,55,8
CS 7,1,3,12,"43.705461281351745,-72.2910166438669",2013-05-21 09:00:00,55,8
German 1 Drill,2,3,2,"43.705461281351745,-72.2910166438669",2013-05-21 09:00:00,55,8
German 1,1,3,2,Unknown,2013-05-21 18:00:00,55,8
Sexperts,2,3,1,"43.705348586663604,-72.28977226652205",2013-05-22 00:00:00,55,8
German 1 Drill,2,3,3,Unknown,2013-05-21 18:00:00,55,8
