level,location,resp_time,day_offset,week
4,Unknown,2013-03-31 03:00:00,4,1
4,Unknown,2013-03-31 22:00:00,4,1
1,"43.702606027945876,-72.2895226534456",2013-03-29 22:00:00,2,1
1,"43.70566922,-72.29087336",2013-04-02 16:00:00,6,1
1,Unknown,2013-03-31 00:00:00,3,1
1,"43.70600279420614,-72.28865772485733",2013-03-27 03:00:00,0,1
1,"43.70600279420614,-72.28865772485733",2013-03-27 03:00:00,0,1
4,"43.70600279420614,-72.28865772485733",2013-03-27 05:00:00,0,1
1,"43.704426074400544,-72.28965751826763",2013-03-27 16:00:00,0,1
1,"43.702606027945876,-72.2895226534456",2013-03-29 19:00:00,2,1
1,"43.70151604525745,-72.2881496977061",2013-03-28 00:00:00,0,1
1,"43.70241567492485,-72.28768064640462",2013-03-27 20:00:00,0,1
4,Unknown,2013-03-30 22:00:00,3,1
1,"43.70763698,-72.2908901",2013-04-03 00:00:00,6,1
1,"43.70295231,-72.29014782",2013-03-31 09:00:00,4,1
1,"43.70559317,-72.2881232",2013-03-30 23:00:00,3,1
4,"43.7025121,-72.28898705",2013-04-01 09:00:00,5,1
4,"43.70307389,-72.28977689",2013-03-31 12:00:00,4,1
1,"43.70351572,-72.28960285",2013-04-01 22:00:00,5,1
1,"43.70295231,-72.29014782",2013-03-31 07:00:00,4,1
1,"43.70295231,-72.29014782",2013-03-31 09:00:00,4,1
4,"43.70563006,-72.29085119",2013-03-31 21:00:00,4,1
1,Unknown,2013-03-31 22:00:00,4,1
1,"43.70351572,-72.28960285",2013-04-01 20:00:00,5,1
1,"43.70351572,-72.28960285",2013-04-01 23:00:00,5,1
1,"43.7025121,-72.28898705",2013-04-01 02:00:00,4,1
5,"43.7055138,-72.28774539",2013-04-01 19:00:00,5,1
4,"43.70351572,-72.28960285",2013-04-02 00:00:00,5,1
1,"43.70348925,-72.28865624",2013-04-02 20:00:00,6,1
1,"43.70763698,-72.2908901",2013-04-03 00:00:00,6,1
1,"43.70643289,-72.2865904",2013-04-02 07:00:00,6,1
1,"43.70351572,-72.28960285",2013-04-02 04:00:00,6,1
1,"43.70348925,-72.28865624",2013-04-02 23:00:00,6,1
1,"43.70348925,-72.28865624",2013-04-02 23:00:00,6,1
1,Unknown,2013-03-30 23:00:00,3,1
1,"43.702606027945876,-72.2895226534456",2013-03-28 09:00:00,1,1
4,"43.702606027945876,-72.2895226534456",2013-03-29 16:00:00,2,1
4,"43.702606027945876,-72.2895226534456",2013-03-29 20:00:00,2,1
1,"43.702606027945876,-72.2895226534456",2013-03-29 18:00:00,2,1
5,Unknown,2013-03-30 00:00:00,2,1
2,"43.702606027945876,-72.2895226534456",2013-03-29 07:00:00,2,1
1,"43.702606027945876,-72.2895226534456",2013-03-28 16:00:00,1,1
1,"43.702606027945876,-72.2895226534456",2013-03-28 09:00:00,1,1
5,"43.702606027945876,-72.2895226534456",2013-03-28 22:00:00,1,1
4,"43.702606027945876,-72.2895226534456",2013-03-28 19:00:00,1,1
4,"43.70770620647818,-72.28489374741912",2013-03-27 17:00:00,0,1
4,"43.70151604525745,-72.2881496977061",2013-03-28 05:00:00,1,1
4,"43.702606027945876,-72.2895226534456",2013-03-29 09:00:00,2,1
2,Unknown,2013-03-27 09:00:00,0,1
1,"43.70307048,-72.29134056",2013-04-05 00:00:00,8,2
4,"43.70492743,-72.2901242",2013-04-03 22:00:00,7,2
5,"43.70492743,-72.2901242",2013-04-04 02:00:00,7,2
4,"43.70572549,-72.29076597",2013-04-03 17:00:00,7,2
1,"43.70492743,-72.2901242",2013-04-04 01:00:00,7,2
1,"43.7052441,-72.29056065",2013-04-03 16:00:00,7,2
4,"43.70572549,-72.29076597",2013-04-03 19:00:00,7,2
1,"43.70763698,-72.2908901",2013-04-03 03:00:00,7,2
1,"43.7052441,-72.29056065",2013-04-03 05:00:00,7,2
1,"43.7052441,-72.29056065",2013-04-03 06:00:00,7,2
4,"43.70572549,-72.29076597",2013-04-03 17:00:00,7,2
4,"43.70492743,-72.2901242",2013-04-04 04:00:00,8,2
1,"43.70492743,-72.2901242",2013-04-04 07:00:00,8,2
1,"43.7035497,-72.28791333",2013-04-04 18:00:00,8,2
1,"43.7035497,-72.28791333",2013-04-04 17:00:00,8,2
1,"43.70701059233397,-72.28998483158648",2013-04-06 02:00:00,9,2
1,Unknown,2013-04-07 08:00:00,11,2
1,"43.70619553606957,-72.28953782469034",2013-04-06 06:00:00,10,2
5,"43.703158563002944,-72.29066770523787",2013-04-07 05:00:00,11,2
1,Unknown,2013-04-07 12:00:00,11,2
1,"43.70573427993804,-72.2908112872392",2013-04-07 00:00:00,10,2
1,"43.70573427993804,-72.2908112872392",2013-04-07 02:00:00,10,2
4,"43.70376273058355,-72.290263697505",2013-04-07 21:00:00,11,2
1,"43.70376273058355,-72.290263697505",2013-04-07 23:00:00,11,2
1,"43.705853219144046,-72.2873000241816",2013-04-08 17:00:00,12,2
1,"43.70876152999699,-72.28423618711531",2013-04-08 19:00:00,12,2
1,"43.70876152999699,-72.28423618711531",2013-04-08 18:00:00,12,2
5,"43.704237481579185,-72.2890498302877",2013-04-09 00:00:00,12,2
1,"43.70686550159007,-72.28619487024844",2013-04-08 21:00:00,12,2
3,"43.704237481579185,-72.2890498302877",2013-04-08 23:00:00,12,2
1,"43.707164358347654,-72.28910917416215",2013-04-09 02:00:00,12,2
5,"43.705809926614165,-72.29142350144684",2013-04-09 08:00:00,13,2
1,"43.70464827865362,-72.2897124197334",2013-04-09 04:00:00,13,2
5,"43.70316120330244,-72.28972448967397",2013-04-10 00:00:00,13,2
1,"43.70414901059121,-72.28755131363869",2013-04-09 16:00:00,13,2
2,"43.70497429277748,-72.29044700972736",2013-04-05 03:00:00,9,2
2,"43.70497429277748,-72.29044700972736",2013-04-05 04:00:00,9,2
1,"43.70590191800147,-72.28983261622488",2013-04-05 00:00:00,8,2
1,"43.702687877230346,-72.29002338834107",2013-04-05 09:00:00,9,2
1,"43.70497429277748,-72.29044700972736",2013-04-05 06:00:00,9,2
3,"43.702687877230346,-72.29002338834107",2013-04-05 11:00:00,9,2
1,"43.70539468713105,-72.29043569415808",2013-04-05 23:00:00,9,2
1,"43.7060222402215,-72.29019781574607",2013-04-08 06:00:00,12,2
4,"43.70410232339054,-72.28721008636057",2013-04-05 16:00:00,9,2
1,"43.70550360996276,-72.29067164473236",2013-04-06 00:00:00,9,2
1,"43.705437518656254,-72.29089770466089",2013-04-05 15:00:00,9,2
1,"43.70736854150891,-72.28518761694431",2013-04-05 18:00:00,9,2
5,"43.70397214,-72.29027069",2013-04-03 21:00:00,7,2
1,"43.70509155560285,-72.28950991295278",2013-04-05 00:00:00,8,2
1,"43.70619553606957,-72.28953782469034",2013-04-06 05:00:00,10,2
2,"43.70590191800147,-72.28983261622488",2013-04-05 02:00:00,8,2
4,Unknown,2013-04-11 22:00:00,15,3
1,"43.7052251631394,-72.288300069049",2013-04-12 22:00:00,16,3
2,Unknown,2013-04-12 06:00:00,16,3
1,"43.70393468532711,-72.28716691955924",2013-04-12 16:00:00,16,3
